Stock Name,Stock Count,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,EPS Time,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Date,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Divident,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
AAOI,1,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,229.40M,-,11.71,"2,130,500",Today After Market EPS,3-Hold ,HOLD,D (Sell),F,November6,-,-,1.09,0.75,-,-,-100.50%,62.10%,33.20%,13.00%,27.80%,-,-7.10%,-10.50%,-0.30%,3.00,1.80,0.34,0.41,24.20%,-22.60%,-16.20%,Nov 06/a,19.59M,18.88M,7.40%,-0.41%,66.70%,-0.05%,42.15%,14.59,545.40K,25.11%,16.23%,7.43%,7.14%,-39.76%,-24.11%,6.70%,5.21%,3.20,3.91,2.03,0.63,13.66%,12.62%,2.77%,-49.91%,40.41%,64.24,2.27%,1.06%
ABC,1,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,17.34B,20.26,84.71,"1,453,987",Tomorrow Before Market EPS,3-Hold ,HOLD,B (Buy),C,November6,11.18,2.51,0.10,5.94,5.78,10.32,188.60%,7.29%,17.80%,8.08%,13.80%,1.89%,2.50%,32.20%,16.40%,1.00,0.60,1.45,1.51,2.70%,0.60%,0.50%,Nov 07/b,204.75M,151.06M,0.10%,-59.96%,69.00%,0.01%,5.71%,6.82,1.26M,-1.33%,5.66%,-3.62%,6.98%,-4.35%,13.86%,3.02%,2.65%,2.60,1.15,0.98,2.36,-1.05%,0.55%,2.57%,-10.60%,22.13%,47.04,-2.23%,0.59%
ACIW,2,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3.64B,56.67,31.62,"485,393",Tomorrow Before Market EPS,,STRONG BUY,C+ (Hold),B,November6,26.46,4.72,3.41,3.50,26.12,23.86,38.40%,36.57%,-2.20%,12.00%,3.10%,-,3.40%,8.10%,5.20%,1.30,1.30,1.28,1.32,55.40%,10.40%,7.70%,Nov 07/b,115.14M,113.96M,0.30%,0.00%,-,0.93%,5.88%,9.28,721.25K,-1.22%,4.81%,2.46%,-1.71%,25.58%,14.28%,2.15%,2.01%,1.20,0.67,1.28,0.69,1.15%,1.89%,-1.10%,-11.82%,25.98%,54.14,-0.72%,-0.19%
ACMR,2,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,252.86M,21.46,14.40,"191,143",Today After Market EPS,3-Hold ,BUY,C (Hold),B,November6,17.58,1.07,2.70,3.88,9.16,49.58,32.70%,12.50%,-,20.00%,-,-,11.60%,22.70%,9.20%,2.00,1.20,0.00,0.25,45.50%,13.80%,13.20%,Nov 06/a,17.56M,8.28M,4.00%,-,11.30%,0.92%,1.22%,0.77,130.76K,10.77%,9.84%,-19.19%,-22.20%,44.14%,32.35%,4.90%,4.55%,1.80,1.46,-,0.62,9.35%,4.15%,-4.00%,-34.19%,59.65%,60.00,0.77%,0.21%
ACRX,3,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,148.77M,-,1.91,"1,840,045",Today After Market EPS,3-Hold ,BUY,D- (Sell),D,November6,-,-,67.62,-,1.62,-,-117.40%,6.70%,-6.50%,-,-40.80%,-,-47.90%,341.60%,-213.90%,11.70,11.30,-,-,-,-,-,Nov 06/a,77.89M,70.86M,0.80%,3.32%,22.40%,-0.14%,19.87%,18.14,776.43K,-5.45%,-9.48%,-16.59%,-39.94%,-55.27%,-17.32%,4.26%,3.53%,1.90,2.37,2.05,0.08,-10.85%,-15.62%,-29.77%,-53.98%,-2.05%,28.00,-6.37%,0.49%
ADNT,3,Adient plc,Consumer Goods,Auto Parts,Ireland,2.20B,-,23.50,"1,326,418",Tomorrow Before Market EPS,3-Hold ,HOLD,D (Sell),C,November6,10.06,-,0.13,1.15,2.15,10.42,-269.30%,84.44%,-58.20%,-,-3.20%,4.68%,-17.40%,-82.50%,-21.20%,1.10,0.90,1.96,1.97,4.60%,-5.00%,-11.00%,Nov 07/b,93.60M,93.36M,0.20%,0.00%,-,-0.25%,7.83%,5.34,1.37M,4.49%,19.05%,-3.85%,10.59%,-22.11%,56.04%,5.53%,5.76%,3.20,0.97,-,1.34,2.74%,3.96%,13.06%,-23.45%,93.50%,51.85,-1.18%,-0.71%
AEL,4,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,2.38B,11.33,26.13,"414,054",Today After Market EPS,3-Hold ,HOLD,B- (Buy),D,November6,6.47,1.13,0.97,0.68,1.96,1.16,114.90%,-0.12%,8.20%,10.00%,-10.20%,1.07%,0.30%,7.50%,-28.40%,-,-,0.21,0.21,-,-,8.60%,Nov 06/a,91.10M,89.52M,1.50%,-8.22%,94.50%,-0.26%,1.70%,3.43,445.05K,3.77%,19.37%,12.97%,-13.25%,-19.65%,-6.48%,2.13%,2.39%,2.70,0.93,1.96,0.66,7.48%,10.88%,-3.35%,-27.64%,29.61%,67.47,0.08%,-0.50%
AERI,5,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,998.06M,-,23.82,"1,159,669",Today After Market EPS,3-Hold ,BUY,D- (Sell),D,November6,-,-,20.62,6.94,-,-,-35.90%,54.10%,2.60%,-,-,-,-85.00%,-109.90%,-92.10%,2.50,2.40,0.00,0.00,96.60%,-,-,Nov 06/a,41.90M,40.11M,1.50%,153.02%,-,2.91%,34.63%,10.76,1.29M,8.32%,27.18%,3.93%,-45.23%,-55.16%,-34.02%,5.46%,6.24%,1.90,0.90,0.50,1.26,12.66%,12.85%,-27.20%,-57.46%,36.04%,62.06,0.55%,-0.55%
AFIN,6,"American Finance Trust, Inc.",Financial,REIT - Diversified,USA,1.56B,-,14.85,"893,518",Today After Market EPS,3-Hold ,HOLD,C- (Hold),B,November6,12.69,-,5.18,0.99,17.07,-,19.10%,8.33%,-12.60%,-,64.30%,7.41%,-1.10%,-2.20%,-0.10%,-,-,0.83,0.99,74.20%,4.90%,-12.00%,Nov 06/a,104.83M,79.72M,0.20%,-,33.40%,-0.19%,11.05%,11.85,743.81K,-0.13%,6.53%,26.06%,46.88%,12.33%,11.49%,2.34%,2.32%,3.00,1.20,-,0.34,3.05%,8.62%,26.58%,-1.59%,58.65%,64.91,0.81%,-0.20%
AIMT,7,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,1.72B,-,28.59,"484,177",Today After Market EPS,4-Sell ,BUY,None,C,November6,-,-,-,8.69,7.08,-,-77.20%,11.70%,-,34.60%,-,-,-71.10%,-89.70%,-,5.80,5.80,0.19,0.19,-,-,-,Nov 06/a,60.31M,44.80M,0.40%,0.65%,88.50%,0.90%,25.48%,10.66,1.07M,4.00%,22.65%,49.69%,43.16%,-4.64%,19.52%,3.33%,3.50%,2.00,0.45,-0.05,1.03,8.44%,21.42%,31.02%,-20.85%,68.67%,68.45,-1.69%,0.24%
